emp_no,first_name,last_name,dept_name,to_date
10001,Georgi,Facello,Development,9999-01-01
10004,Chirstian,Koblick,Production,9999-01-01
10009,Sumant,Peac,Quality Management,9999-01-01
10018,Kazuhide,Peha,Production,9999-01-01
10018,Kazuhide,Peha,Development,1992-07-29
10035,Alain,Chappelet,Production,9999-01-01
10053,Sanjiv,Zschoche,Sales,9999-01-01
10058,Berhard,McFarlin,Marketing,9999-01-01
10066,Kwee,Schusler,Development,9999-01-01
10067,Claudi,Stavenow,Quality Management,9999-01-01
10070,Reuven,Garigliano,Development,1995-10-18
10070,Reuven,Garigliano,Research,9999-01-01
10072,Hironoby,Sidou,Development,9999-01-01
10076,Erez,Ritzmann,Development,9999-01-01
10088,Jungsoon,Syrzycki,Sales,1992-03-21
10088,Jungsoon,Syrzycki,Customer Service,9999-01-01
10100,Hironobu,Haraldson,Human Resources,9999-01-01
10103,Akemi,Birch,Development,9999-01-01
10126,Kayoko,Valtorta,Customer Service,9999-01-01
10129,Armond,Peir,Development,9999-01-01
10130,Nishit,Casperson,Production,9999-01-01
10134,Diederik,Siprelle,Production,9999-01-01
10134,Diederik,Siprelle,Development,1993-12-02
10138,Perry,Shimshoni,Quality Management,9999-01-01
10150,Zhenbing,Perng,Development,9999-01-01
10153,Heekeun,Majewski,Development,9999-01-01
10157,Nigel,Aloisi,Development,9999-01-01
10198,Pranav,Furedi,Development,9999-01-01
10215,Xiaobin,Duclos,Sales,9999-01-01
10224,Leon,Trogemann,Production,9999-01-01
10233,Lein,Vendrig,Human Resources,9999-01-01
10258,Basil,Ishibashi,Development,9999-01-01
10272,Yishai,Cannane,Finance,9999-01-01
10282,Hercules,Benzmuller,Production,9999-01-01
10283,Kauko,Birjandi,Development,9999-01-01
10326,Masali,Czap,Research,9999-01-01
10340,Djelloul,Laventhal,Marketing,9999-01-01
10347,Pradeep,Kaminger,Research,9999-01-01
10355,Satyanarayana,Cochrane,Sales,9999-01-01
10356,Vasilis,Standera,Research,9999-01-01
10364,Nakhoon,Dengi,Production,9999-01-01
10372,Anneli,Frijda,Production,9999-01-01
10387,Parto,Wrigley,Customer Service,9999-01-01
10396,Sibyl,Rahier,Development,9999-01-01
10402,Volkmar,Ebeling,Quality Management,9999-01-01
10404,Prodip,Rosti,Development,9999-01-01
10426,Arunas,Luce,Development,9999-01-01
10429,Martien,Improta,Development,9999-01-01
10432,Hisao,Tiemann,Customer Service,9999-01-01
10451,Bodh,Ranta,Production,9999-01-01
10453,Tsvetan,Matzel,Customer Service,9999-01-01
10463,Ung,Zaiane,Sales,9999-01-01
10486,Amstein,Kossowski,Quality Management,9999-01-01
10494,Yakkov,Servieres,Production,9999-01-01
10504,Xiong,Varker,Sales,9999-01-01
10512,Udi,Gihr,Human Resources,9999-01-01
10522,Marke,Cesareni,Human Resources,9999-01-01
10548,Ramalingam,Gunderson,Marketing,9999-01-01
10548,Ramalingam,Gunderson,Sales,1991-10-04
10564,Jianhao,Thisen,Production,9999-01-01
10623,Aleksander,Danlos,Development,1996-02-11
10623,Aleksander,Danlos,Research,9999-01-01
10628,Krisda,Krogh,Development,9999-01-01
10631,Inderjeet,Chaudhuri,Development,9999-01-01
10642,Hirochika,Narlikar,Development,9999-01-01
10653,Otmar,Feinberg,Development,9999-01-01
10671,Parviz,Rebaine,Human Resources,9999-01-01
10676,Valeri,Danley,Development,9999-01-01
10693,Berhard,Daescu,Customer Service,9999-01-01
10702,Bader,Szemeredi,Development,9999-01-01
10718,Adib,Rullman,Development,9999-01-01
10726,Zita,Minakawa,Development,9999-01-01
10734,Sachar,Erdi,Production,9999-01-01
10745,Poorav,Ranze,Production,9999-01-01
10749,King,Brendel,Production,9999-01-01
10767,Monique,Doering,Sales,9999-01-01
10768,Ishfaq,Candan,Production,9999-01-01
10778,Selwyn,Merey,Marketing,9999-01-01
10791,Tadahiko,Sgarro,Development,9999-01-01
10795,Supot,Naudin,Sales,9999-01-01
10808,Chenxi,Leijenhorst,Development,9999-01-01
10835,Tomoyuki,Kermarrec,Production,9999-01-01
10836,Jianhua,Leivant,Sales,1991-07-01
10836,Jianhua,Leivant,Customer Service,9999-01-01
10844,Dipayan,Koprowski,Development,9999-01-01
10847,Theirry,Danley,Research,9999-01-01
10848,Fen,Bratsberg,Production,9999-01-01
10878,Lakshmi,Deville,Sales,9999-01-01
10879,Muzhong,Chleq,Development,9999-01-01
10883,Shimshon,Champarnaud,Production,9999-01-01
10909,Georgi,Atchley,Development,9999-01-01
10921,Mara,Bahi,Production,9999-01-01
10924,Hironoby,Atchley,Sales,9999-01-01
10927,Gal,Scallan,Marketing,9999-01-01
10936,Mountaz,Schicker,Human Resources,9999-01-01
10943,Berna,Skafidas,Development,9999-01-01
10965,Eckart,Braunschweig,Sales,9999-01-01
10969,Premal,Noriega,Development,9999-01-01
10974,Muneo,Papsdorf,Development,9999-01-01
10986,Masako,Schiper,Development,9999-01-01
10988,Chinya,Deyuan,Development,9999-01-01
10989,Sumali,Candan,Finance,9999-01-01
10990,Shin,Foote,Development,9999-01-01
11009,Alper,Axelband,Sales,9999-01-01
11012,Taegyun,Speckmann,Marketing,2000-03-16
11012,Taegyun,Speckmann,Customer Service,9999-01-01
11019,Leon,Huttel,Development,9999-01-01
11021,Srinidhi,Henders,Research,9999-01-01
11027,Remzi,Cappello,Production,9999-01-01
11031,Ottavia,Walstra,Marketing,9999-01-01
11037,Lansing,Maliniak,Production,9999-01-01
11038,Jinya,Beidas,Research,9999-01-01
11042,Gou,Breugel,Development,9999-01-01
11048,Jaques,Demke,Sales,9999-01-01
11050,Elvis,Katiyar,Marketing,9999-01-01
11051,Przemyslawa,Erol,Production,9999-01-01
11070,Adib,Raney,Quality Management,9999-01-01
11081,Barry,Boyle,Finance,9999-01-01
11085,Hailing,Thummel,Production,9999-01-01
11100,Berna,Cochrane,Research,9999-01-01
11106,Aris,Iwayama,Development,9999-01-01
11112,Boaz,Mukaidono,Customer Service,9999-01-01
11113,Shahab,Peng,Marketing,9999-01-01
11121,Vugranam,Kakkad,Development,9999-01-01
11133,Nalini,Azulay,Quality Management,9999-01-01
11134,Sachar,Rajcani,Quality Management,9999-01-01
11137,Hugh,Luca,Development,9999-01-01
11139,Bogdan,Homond,Customer Service,9999-01-01
11146,Ishfaq,Masand,Sales,9999-01-01
11148,Zhanqiu,Botman,Finance,1991-12-12
11148,Zhanqiu,Botman,Human Resources,9999-01-01
11162,Kauko,Narlikar,Development,9999-01-01
11180,Mitsuyuki,Bojadziev,Development,9999-01-01
11197,Tadahiro,Fordan,Sales,9999-01-01
11204,Diederik,Covnot,Production,9999-01-01
11207,Saeed,Gips,Development,9999-01-01
11208,Saniya,Valtorta,Production,9999-01-01
11211,Yurij,Rissland,Production,9999-01-01
11217,Kellie,Mawatari,Production,9999-01-01
11232,Hidefumi,Crelier,Customer Service,9999-01-01
11240,Kiam,Condotta,Development,9999-01-01
11249,Randi,Cyre,Development,9999-01-01
11251,Bezalel,Chinal,Marketing,9999-01-01
11268,Aimee,Petersohn,Production,9999-01-01
11275,Hitomi,Eppinger,Development,9999-01-01
11290,Visit,Dredge,Development,9999-01-01
11295,Abdelkader,Lanzelotte,Finance,9999-01-01
11319,Pranas,Marrakchi,Development,9999-01-01
11320,Atilio,McAlpine,Marketing,9999-01-01
11322,Nathalie,Pocchiola,Quality Management,9999-01-01
11324,Kauko,Billingsley,Production,9999-01-01
11338,Kwangsub,Hanratty,Sales,9999-01-01
11339,Flemming,Massonet,Production,9999-01-01
11347,Anneli,Jonsson,Development,9999-01-01
11365,Toshimi,Shinomoto,Production,9999-01-01
11376,Valery,Suomi,Research,9999-01-01
11380,Kenroku,Pelc,Development,9999-01-01
11385,Shiv,Ullian,Production,9999-01-01
11386,Alselm,Assaf,Quality Management,9999-01-01
11393,Junsik,Junot,Production,9999-01-01
11398,Oscar,Peir,Finance,9999-01-01
11404,Bedrich,Borovoy,Development,9999-01-01
11415,Sanjiv,Anido,Production,9999-01-01
11421,Josyula,Msuda,Production,9999-01-01
11441,Marlo,Aingworth,Sales,9999-01-01
11449,Kotesh,Asser,Production,9999-01-01
11459,Duke,Suomi,Human Resources,9999-01-01
